ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
395,antonym,متضاد,反义词 (fǎnyìcí),विलोम (vilom),antónimo,antonyme,ضد (ḍidd),বিপরীতার্থক শব্দ (biporitarthok shobdo),antônimo,антоним,متضاد (mutazād),antonim,Antonym,反意語 (han'igo),kinyume,विरुद्धार्थी शब्द (virud'dhārthī śabda),వ్యతిరేకపదం (vyatirēkapadaṁ),zıt anlamlı; karşıt anlamlı,반의어 (ban-ui-eo),antonimo
396,anxiety,اضطراب; نگرانی,焦虑 (jiāolǜ),चिंता (cintā),ansiedad,anxiété,قلق (qalaq),উদ্বেগ (udbeg),ansiedade,тревога; беспокойство,بے چینی (bechainī),kecemasan,Angst; Sorge,不安 (fuan),wasiwasi,चिंता (cintā),ఆందోళన (āndōḷana),endişe; kaygı,불안 (bulan),ansia
397,anxious,نگران; مشتاق,焦虑的 (jiāolǜ de),चिंतित (cintit),ansioso,anxieux,قلق (qaliq),উদ্বিগ্ন (udbigno),ansioso,озабоченный; тревожный,فکرمند (fikrmand),cemas,besorgt; ängstlich,心配して (shinpai shite),-enye wasiwasi,चिंताग्रस्त (cintāgrasta),ఆత్రుతగా (ātrutagā),endişeli; hevesli,걱정하는 (geogjeonghaneun),ansioso
398,anxiously,با نگرانی,焦急地 (jiāojí de),चिंता से (cintā se),ansiosamente,anxieusement,بقلق (bi-qalaq),উদ্বেগের সাথে (udbeger shathe),ansiosamente,с тревогой,فکرمندی سے (fikrmandī se),dengan cemas,besorgt,心配そうに (shinpaisō ni),kwa wasiwasi,चिंतेने (cintēnē),ఆందోళనతో (āndōḷanatō),endişeyle,걱정스럽게 (geogjeongseuleobge),ansiosamente
399,any,هیچ; هر,任何 (rènhé),कोई (koī),cualquier; ningún,n'importe quel; aucun,أي (ʾayy),কোন (kono),qualquer,любой; какой-нибудь,کوئی (ko'ī),apa saja,irgendein; jeder,どれでも (doredemo),-o-ote,कोणताही (kōṇatāhī),ఏదైనా (ēdainā),herhangi bir,아무 (amu),qualsiasi
400,anybody,هر کسی; هیچکس,任何人 (rènhé rén),कोई भी (koī bhī),cualquiera; nadie,n'importe qui; personne,أي شخص (ʾayyu shakhṣin),যে কেউ (je keu),qualquer pessoa,кто-угодно; кто-нибудь,کوئی بھی (ko'ī bhī),siapa pun,irgendjemand,誰でも (daredemo),mtu yeyote,कोणीही (kōṇīhī),ఎవరైనా (evarainā),herhangi biri; kimse,누구든지 (nugudeunji),chiunque
401,anyhow,به هر حال,无论如何 (wúlùn rúhé),वैसे भी (vaise bhī),de todos modos,de toute façon,على أي حال (ʿalā ʾayyi ḥālin),যাইহোক (jaihok),de qualquer maneira,так или иначе,بہرحال (bahar-hāl),bagaimanapun,jedenfalls,とにかく (tonikaku),vyovyote vile,तरीही (tarīhī),ఏమైనప్పటికీ (ēmainappaṭikī),her neyse; zaten,어쨌든 (eojjaessdeun),comunque
402,anymore,دیگر (در جملات منفی),再也不 (zài yě bù),अब और (ab aur),ya no,ne plus,لم يعد (lam yaʿud),আর (ar),não mais,больше не,اب (ab),lagi,nicht mehr,もはや～ない (mohaya ~nai),tena,आणखी (āṇakhī),ఇకపై (ikapai),artık,더 이상 (deo isang),più
403,anyone,هر کسی; هیچکس,任何人 (rènhé rén),कोई भी (koī bhī),cualquiera; nadie,n'importe qui; personne,أي شخص (ʾayyu shakhṣin),যে কেউ (je keu),qualquer pessoa,кто-угодно; кто-нибудь,کوئی بھی (ko'ī bhī),siapa pun,irgendjemand,誰でも (daredemo),mtu yeyote,कोणीही (kōṇīhī),ఎవరైనా (evarainā),herhangi biri; kimse,chiunque
404,anything,هر چیزی,任何东西 (rènhé dōngxi),कुछ भी (kuch bhī),cualquier cosa; nada,n'importe quoi; rien,أي شيء (ʾayyu shayʾin),কিছু (kichu),qualquer coisa,что-нибудь; что-угодно,کچھ بھی (kuch bhī),apa saja,irgendetwas,何でも (nandemo),kitu chochote,काहीही (kāhīhī),ఏదైనా (ēdainā),herhangi bir şey,무엇이든 (mu-eos-ideun),qualcosa; niente
405,anyway,به هر حال,反正 (fǎnzhèng),वैसे भी (vaise bhī),de todos modos,de toute façon,على أي حال (ʿalā ʾayyi ḥālin),যাইহোক (jaihok),de qualquer maneira,в любом случае,ویسے بھی (vaise bhī),toh,jedenfalls,とにかく (tonikaku),hata hivyo,तरीही (tarīhī),ఏమైనప్పటికీ (ēmainappaṭikī),zaten; her halükarda,어쨌든 (eojjaessdeun),comunque
406,anywhere,هر جا,任何地方 (rènhé dìfāng),कहीं भी (kahī̃ bhī),en cualquier lugar,n'importe où,في أي مكان (fī ʾayyi makānin),যে কোনও জায়গায় (je kono jaygay),em qualquer lugar,где угодно; куда-нибудь,کہیں بھی (kahīñ bhī),di mana saja,irgendwo,どこでも (dokodemo),mahali popote,कुठेही (kuṭhēhī),ఎక్కడైనా (ekkaḍainā),herhangi bir yer,어디든지 (eodideunji),ovunque
407,apart,جدا,分开 (fēnkāi),अलग (alag),aparte,à part,منفصل (munfaṣil),আলাদা (alada),à parte,отдельно,الگ (alag),terpisah,auseinander; getrennt,離れて (hanarete),kando,वेगळा (vēgaḷā),వేరుగా (vērugā),ayrı,떨어져 (tteol-eojyeo),a parte
408,apartment,آپارتمان,公寓 (gōngyù),अपार्टमेंट (apārṭmenṭ),apartamento,appartement,شقة (shaqqah),অ্যাপার্টমেন্ট (êpartment),apartamento,квартира,اپارٹمنٹ (apartment),apartemen,Wohnung,アパート (apāto),fleti,अपार्टमेंट (apārṭamēṇṭa),అపార్ట్మెంట్ (apārṭmeṇṭ),daire; apartman,아파트 (apateu),appartamento
409,ape,میمون (انسان‌نما),猿 (yuán),वनमानुष (vanmānuṣ),simio,singe,قرد (qird),বনমানুষ (bonmanush),símio,человекообразная обезьяна,بن مانس (ban-mānas),kera,Menschenaffe,類人猿 (ruijin'en),sokwe,वानर (vānara),కోతి (kōti),insansı maymun,유인원 (yu-in-won),scimmia antropomorfa
410,apologize,عذرخواهی کردن,道歉 (dàoqiàn),माफी मांगना (māphī māṅgnā),disculparse,s'excuser,يعتذر (yaʿtadhiru),ক্ষমা চাওয়া (khoma chaowa),pedir desculpas,извиняться,معافی مانگنا (mu'āfī māṅgnā),minta maaf,sich entschuldigen,謝る (ayamaru),kuomba msamaha,माफी मागणे (māphī māgaṇē),క్షమించు (kṣamin̄cu),özür dilemek,사과하다 (sagwahada),scusarsi
411,apology,عذرخواهی,道歉 (dàoqiàn),माफी (māphī),disculpa,excuse,اعتذار (iʿtidhār),ক্ষমা (khoma),desculpa,извинение,معافی (mu'āfī),permintaan maaf,Entschuldigung,謝罪 (shazai),msamaha,माफी (māphī),క్షమాపణ (kṣamāpaṇa),özür,사과 (sagwa),scusa
412,apostle,حواری; رسول,使徒 (shǐtú),प्रेरित (prerit),apóstol,apôtre,رسول (rasūl),প্রেরিত (prerito),apóstolo,апостол,حواری (hawārī),rasul,Apostel,使徒 (shito),mtume,प्रेषित (prēṣita),అపొస్తలుడు (apostaluḍu),havari; elçi,사도 (sado),apostolo
413,apostrophe,آپاستروف,撇号 (piěhào),apostrophe,apóstrofo,apostrophe,فاصلة عليا (fāṣilah ʿulyā),অ্যাপস্ট্রফি (êpostrofi),apóstrofo,апостроф,اپاسٹرافی (apostrophe),apostrof,Apostroph,アポストロフィ (aposutorofi),apostrofi,अपॉस्ट्रॉफी (apŏsṭrŏphī),అపాస్ట్రఫీ (apāsṭraphī),kesme işareti,아포스트로피 (aposeuteuropi),apostrofo
414,app,اپلیکیشن,应用 (yìngyòng),ऐप (aip),app,appli,تطبيق (taṭbīq),অ্যাপ (êp),app; aplicativo,приложение,ایپ (app),aplikasi,App,アプリ (apuri),programu,ॲप (ĕpa),యాప్ (yāp),uygulama; app,앱 (aeb),app
415,appall,وحشت زده کردن,使惊骇 (shǐ jīnghài),डराना (ḍarānā),horrorizar,épouvanter,يروع (yurawwiʿu),আতঙ্কিত করা (atonkito kora),apavorar,ужасать,خوفزدہ کرنا (khaufzada karna),mengerikan,entsetzen,ぞっとさせる (zotto saseru),kutisha,घाबरवणे (ghābaravaṇē),భయపెట్టు (bhayapeṭṭu),dehşete düşürmek,소스라치게 하다 (sosurachige hada),inorridire
416,appalling,وحشتناک,骇人听闻的 (hàiréntīngwén de),भयानक (bhayānak),espantoso,épouvantable,مروع (murawwiʿ),ভয়ঙ্কর (bhoyonkor),apavorante,ужасающий,خوفناک (khaufnāk),mengerikan,entsetzlich,ぞっとするような (zotto suru yōna),-a kutisha,भयानक (bhayānaka),భయంకరమైన (bhayaṅkaramaina),korkunç; dehşet verici,끔찍한 (kkeumjjighan),spaventoso
417,appallingly,به طرز وحشتناکی,骇人听闻地 (hàiréntīngwén de),भयानक रूप से (bhayānak rūp se),espantosamente,épouvantablement,بشكل مروع (bi-shaklin murawwiʿin),ভয়ঙ্করভাবে (bhoyonkorbhabe),apavorantemente,ужасающе,خوفناک طور پر (khaufnāk taur par),secara mengerikan,entsetzlich,ぞっとするほど (zotto suru hodo),kwa njia ya kutisha,भयानकपणे (bhayānakapaṇē),భయంకరంగా (bhayaṅkaraṅgā),korkunç bir şekilde,끔찍하게 (kkeumjjighage),spaventosamente
418,apparatus,دستگاه; ابزار,仪器 (yíqì),उपकरण (upkaraṇ),aparato,appareil,جهاز (jihāz),যন্ত্রপাতি (jontropati),aparato,аппарат; прибор,ساز و سامان (sāz o sāmān),aparat,Apparat,装置 (sōchi),vifaa,उपकरण (upakaraṇa),పరికరం (parikaraṁ),aparat; cihaz,장치 (jangchi),apparecchio
419,apparel,پوشاک; لباس,服装 (fúzhuāng),परिधान (paridhān),atuendo,vêtements,ملابس (malābis),পোশাক (poshak),vestuário,одежда,لباس (libās),pakaian,Kleidung,衣服 (ifuku),mavazi,पोशाख (pōśākha),దుస్తులు (dustulu),giysi; kıyafet,의류 (uilyu),abbigliamento
420,apparent,آشکار; ظاهری,明显的 (míngxiǎn de),स्पष्ट (spaṣṭ),aparente,apparent,ظاهر (ẓāhir),আপাত (apat),aparente,очевидный; видимый,ظاہر (zāhir),jelas,offensichtlich; scheinbar,明らかな (akirakana),dhahiri,स्पष्ट (spaṣṭa),స్పష్టమైన (spaṣṭamaina),bariz; aşikar,명백한 (myeongbaeghan),apparente
421,apparently,ظاهراً,显然 (xiǎnrán),जाहिर है (zāhir hai),aparentemente,apparemment,ظاهريا (ẓāhiriyyan),আপাতদৃষ্টিতে (apatodrishtite),aparentemente,очевидно,بظاہر (bazāhir),tampaknya,anscheinend,見たところ (mitatokoro),inaonekana,वरवर पाहता (varavara pāhatā),స్పష్టంగా (spaṣṭaṅgā),görünüşe göre,보아하니 (boahani),apparentemente
422,appeal,درخواست; جذابیت,呼吁 (hūyù); 吸引力 (xīyǐnlì),अपील (apīl),apelación; atractivo,appel; attrait,مناشدة (munāshadah); جاذبية (jādhibiyyah),আবেদন (abedon),apelo; atração,обращение; привлекательность,اپیل (apīl),daya tarik,Appell; Reiz,訴え (uttae); 魅力 (miryoku),rufaa; mvuto,आकर्षण (ākarṣaṇa),విజ్ఞప్తి (vijñapti),cazibe; başvuru,매력; 호소 (maelyeog; hoso),appello; fascino
423,appealing,جذاب,有吸引力的 (yǒu xīyǐnlì de),आकर्षक (ākarṣak),atractivo,attrayant,جذاب (jadhdhāb),আকর্ষণীয় (akorshoniyo),atraente,привлекательный,دلکش (dilkash),menarik,ansprechend,魅力的な (miryokutekina),-a kuvutia,आकर्षक (ākarṣaka),ఆకర్షణీయమైన (ākarṣaṇīyamaina),çekici; cazip,매력적인 (maelyeogjeog-in),attraente
424,appear,ظاهر شدن,出现 (chūxiàn),प्रकट होना (prakaṭ honā),aparecer,apparaître,يظهر (yaẓharu),আবির্ভূত হওয়া (abirbhuto howa),aparecer,появляться,نمودار ہونا (namūdār honā),muncul,erscheinen,現れる (arawareru),kutokea,दिसणे (disaṇē),కనిపించు (kanipin̄cu),görünmek; ortaya çıkmak,나타나다 (natanada),apparire
425,appearance,ظاهر; ظهور,外貌 (wàimào); 出现 (chūxiàn),दिखावट (dikhāvaṭ),apariencia,apparence,مظهر (maẓhar),আবির্ভাব (abirbhab),aparência,внешность; появление,ظہور (zuhūr),penampilan,Aussehen; Erscheinung,外観 (gaikan),mwonekano,स्वरूप (svarūpa),స్వరూపం (svarūpaṁ),görünüş; ortaya çıkma,외모; 출현 (oemo; chulhyeon),aspetto; apparizione
426,appetite,اشتها,食欲 (shíyù),भूख (bhūkh),apetito,appétit,شهية (shahiyyah),ক্ষুধা (khudha),apetite,аппетит,بھوک (bhūk),nafsu makan,Appetit,食欲 (shokuyoku),hamu ya kula,भूक (bhūka),ఆకలి (ākali),iştah,식욕 (sig-yog),appetito
427,applaud,تشویق کردن,鼓掌 (gǔzhǎng),ताली बजाना (tālī bajānā),aplaudir,applaudir,يصفق (yuṣaffiqu),সাধুবাদ দেওয়া (shadhubad deoya),aplaudir,аплодировать,تالیاں بجانا (tāliyāñ bajānā),bertepuk tangan,applaudieren,拍手する (hakushu suru),kushangilia,टाळ्या वाजवणे (ṭāḷyā vājavaṇē),చప్పట్లు కొట్టు (cappaṭlu koṭṭu),alkışlamak,박수치다 (bagsuchida),applaudire
428,applause,کف زدن; تشویق,掌声 (zhǎngshēng),तालियाँ (tāliyā̃),aplauso,applaudissements,تصفيق (taṣfīq),সাধুবাদ (shadhubad),aplauso,аплодисменты,تالیاں (tāliyāñ),tepuk tangan,Applaus,拍手 (hakushu),makofi,टाळ्यांचा गजर (ṭāḷyān̄cā gajara),చప్పట్లు (cappaṭlu),alkış,박수 (bagsu),applauso
429,apple,سیب,苹果 (píngguǒ),सेब (seb),manzana,pomme,تفاحة (tuffāḥah),আপেল (apel),maçã,яблоко,سیب (seb),apel,Apfel,リンゴ (ringo),tunda,सफरचंद (sapharacanda),ఆపిల్ (āpil),elma,사과 (sagwa),mela
430,appliance,لوازم خانگی,电器 (diànqì),उपकरण (upkaraṇ),electrodoméstico,appareil,جهاز (jihāz),সরঞ্জাম (shoronjam),eletrodoméstico,прибор; устройство,آلہ (āla),peralatan,Haushaltsgerät,電化製品 (denka seihin),kifaa,उपकरण (upakaraṇa),ఉపకరణం (upakaraṇaṁ),cihaz; alet,가전제품 (gajeonjepum),elettrodomestico
431,applicable,قابل اجرا,适用的 (shìyòng de),लागू (lāgū),aplicable,applicable,قابل للتطبيق (qābil lil-taṭbīq),প্রযোজ্য (propojjo),aplicável,применимый,قابل اطلاق (qābil-e-ittilāq),berlaku,anwendbar,適用可能な (tekiyō kanōna),inayotumika,लागू (lāgū),వర్తించే (vartin̄cē),uygulanabilir,적용 가능한 (jeog-yong ganeunghan),applicabile
432,applicant,متقاضی,申请人 (shēnqǐngrén),आवेदक (āvedak),solicitante,candidat,مقدم الطلب (muqaddim al-ṭalab),আবেদনকারী (abedonkari),candidato,кандидат; соискатель,درخواست دہندہ (darkhwāst-dahinda),pelamar,Bewerber,応募者 (ōbosha),mwombaji,अर्जदार (arjadāra),దరఖాస్తుదారు (darakhāstudāru),başvuru sahibi; aday,지원자 (jiwonja),candidato; richiedente
433,application,کاربرد; درخواست,应用 (yìngyòng); 申请 (shēnqǐng),आवेदन (āvedan),solicitud; aplicación,application,تطبيق (taṭbīq); طلب (ṭalab),আবেদন (abedon),aplicação; inscrição,применение; заявление,درخواست (darkhwāst),aplikasi; lamaran,Anwendung; Bewerbung,応用 (ōyō); 申し込み (mōshikomi),maombi,अर्ज (arja),అప్లికేషన్ (aplikēṣan),uygulama; başvuru,지원; 응용 프로그램 (jiwon; eung-yong peurogeuraem),applicazione; domanda
434,apply,درخواست دادن; به کار بردن,申请 (shēnqǐng); 应用 (yìngyòng),आवेदन करना (āvedan karnā),solicitar; aplicar,postuler; appliquer,يقدم طلبا (yuqaddimu ṭalaban); يطبق (yuṭabbiqu),আবেদন করা (abedon kora),candidatar-se; aplicar,подавать заявление; применять,درخواست کرنا (darkhwāst karnā),melamar; menerapkan,bewerben; anwenden,申し込む (mōshikomu); 適用する (tekiyō suru),kuomba,अर्ज करणे (arja karaṇē),దరఖాస్తు చేసుకోండి (darakhāstu cēsukōṇḍi),başvurmak; uygulamak,지원하다; 적용하다 (jiwonhada; jeog-yonghada),fare domanda; applicare
435,appoint,منصوب کردن,任命 (rènmìng),नियुक्त करना (niyukt karnā),nombrar,nommer,يعين (yuʿayyinu),নিয়োগ করা (niyog kora),nomear,назначать,مقرر کرنا (muqarrar karna),menunjuk,ernennen,任命する (ninmei suru),kuteua,नेमणूक करणे (nēmaṇūka karaṇē),నియమించు (niyamin̄cu),atamak; tayin etmek,임명하다 (immyeonghada),nominare
436,appointment,قرار ملاقات; انتصاب,约会 (yuēhuì); 任命 (rènmìng),मुलाक़ात (mulāqāt); नियुक्ति (niyukti),cita; nombramiento,rendez-vous; nomination,موعد (mawʿid); تعيين (taʿyīn),সাক্ষাৎকার (shakhyatkar),compromisso; nomeação,встреча; назначение,ملاقات (mulāqāt),janji; penunjukan,Termin; Ernennung,予約 (yoyaku); 任命 (ninmei),miadi; uteuzi,भेट (bhēṭa); नेमणूक (nēmaṇūka),నియామకం (niyāmakaṁ),randevu; atama,약속; 임명 (yagsog; immyeong),appuntamento; nomina
437,appreciate,قدردانی کردن,欣赏 (xīnshǎng); 感激 (gǎnjī),सराहना (sarāhnā),apreciar,apprécier,يقدر (yuqaddiru), প্রশংসা করা (proshongsha kora),apreciar,ценить,قدر کرنا (qadr karna),menghargai,schätzen; würdigen,感謝する (kansha suru),kuthamini,कौतुक करणे (kautuka karaṇē),అభినందించు (abhinandin̄cu),takdir etmek; minnettar olmak,감사하다 (gamsahada),apprezzare
438,appreciation,قدردانی,欣赏 (xīnshǎng); 感激 (gǎnjī),सराहना (sarāhnā),aprecio,appréciation,تقدير (taqdīr),প্রশংসা (proshongsha),apreço,признательность; высокая оценка,قدر (qadr),apresiasi,Wertschätzung,感謝 (kansha),shukrani,कौतुक (kautuka),అభినందన (abhinandana),takdir; minnettarlık,감사 (gamsa),apprezzamento
439,appreciative,سپاسگزار,感激的 (gǎnjī de),आभारी (ābhārī),agradecido,reconnaissant,ممتن (mumtann),কৃতজ্ঞ (kritoggo),grato,благодарный,شکر گزار (shukr-guzār),penuh penghargaan,dankbar,感謝している (kansha shiteiru),-enye shukrani,कृतज्ञ (kr̥tajña),అభినందనతో కూడిన (abhinandanatō kūḍina),minnettar; takdir eden,감사하는 (gamsahaneun),riconoscente
440,apprehend,دستگیر کردن; درک کردن,逮捕 (dàibǔ); 理解 (lǐjiě),पकड़ना (pakaṛnā); समझना (samajhnā),aprehender,appréhender,يقبض على (yaqbiḍu ʿalā); يفهم (yafhamu),গ্রেপ্তার করা (greptar kora),apreender,задерживать; постигать,گرفتار کرنا (giraftār karnā),menangkap; memahami,festnehmen; begreifen,逮捕する (taiho suru); 理解する (rikai suru),kukamatwa,पकडणे (pakaḍaṇē),గ్రహించు (grahin̄cu),yakalamak; kavramak,체포하다; 이해하다 (chepohada; ihaehada),arrestare; comprendere
441,apprehensive,نگران,忧虑的 (yōulǜ de),आशंकित (āśaṅkit),aprensivo,inquiet,قلق (qaliq),উদ্বিগ্ন (udbigno),apreensivo,опасающийся,خائف (khā'if),cemas,besorgt,心配して (shinpai shite),-enye wasiwasi,चिंताग्रस्त (cintāgrasta),భయపడుతున్న (bhayapaḍutunna),endişeli; kaygılı,걱정하는 (geogjeonghaneun),apprensivo
442,apprentice,کارآموز,学徒 (xuétú),प्रशिक्षु (praśikṣu),aprendiz,apprenti,متدرب (mutadarrib),শিক্ষানবিশ (shikhanobish),aprendiz,ученик; подмастерье,شاگرد (shāgird),magang,Auszubildender; Lehrling,見習い (minarai),mwanafunzi,शिकाऊ (śikā'ū),అప్రెంటిస్ (apreṇṭis),çırak; stajyer,견습생 (gyeonseubsaeng),apprendista
443,apprenticeship,کارآموزی,学徒期 (xuétúqī),प्रशिक्षुता (praśikṣutā),aprendizaje,apprentissage,فترة تدريب (fatrat tadrīb),শিক্ষানবিসি (shikhanobishi),aprendizagem,ученичество,شاگردی (shāgirdī),magang,Lehre; Ausbildung,見習い期間 (minarai kikan),ujifunzaji,शिकाऊ उमेदवारी (śikā'ū umēdavārī),అప్రెంటిస్ షిప్ (apreṇṭis ṣip),çıraklık; stajyerlik,apprendistato
444,approach,رویکرد; نزدیک شدن,方法 (fāngfǎ); 接近 (jiējìn),दृष्टिकोण (dr̥ṣṭikoṇ); पहुंचना (pahunchnā),enfoque; acercarse,approche; s'approcher,نهج (nahj); يقترب (yaqtaribu),দৃষ্টিভঙ্গি (drishtibhongi),abordagem; aproximar-se,подход; приближаться,نقطہ نظر (nuqta-e-nazar); قریب آنا (qarīb ānā),pendekatan; mendekati,Ansatz; sich nähern,アプローチ (apurōchi); 近づく (chikazuku),mbinu; kukaribia,दृष्टिकोन (dr̥ṣṭikōna),విధానం (vidhānaṁ),yaklaşım; yaklaşmak,접근 방식; 다가가다 (jeobgeun bangsig; dagagada),approccio; avvicinarsi
445,appropriate,مناسب,适当的 (shìdàng de),उचित (ucit),apropiado,approprié,مناسب (munāsib),উপযুক্ত (upojukto),apropriado,соответствующий,مناسب (munāsib),sesuai,angemessen,適切な (tekisetsuna),-a kufaa,योग्य (yōgya),తగిన (tagina),uygun; münasip,적절한 (jeogjeolhan),appropriato
446,appropriately,به طور مناسب,适当地 (shìdàng de),उचित रूप से (ucit rūp se),apropiadamente,de manière appropriée,بشكل مناسب (bi-shaklin munāsibin),যথাযথভাবে (jothajothobhabe),apropriadamente,соответствующим образом,مناسب طریقے سے (munāsib tarīqe se),dengan tepat,angemessen,適切に (tekisetsu ni),ipasavyo,योग्यरित्या (yōgyarityā),సరిగ్గా (sariggā),uygun bir şekilde,적절하게 (jeogjeolhage),appropriatamente
447,approval,تایید,批准 (pīzhǔn),अनुमोदन (anumodan),aprobación,approbation,موافقة (muwāfaqah),অনুমোদন (onumodon),aprovação,одобрение,منظوری (manzūrī),persetujuan,Genehmigung,承認 (shōnin),idhini,मंजुरी (man̄jurī),ఆమోదం (āmōdaṁ),onay,승인 (seung-in),approvazione
448,approve,تایید کردن,批准 (pīzhǔn),अनुमोदन करना (anumodan karnā),aprobar,approuver,يوافق على (yuwāfiqu ʿalā),অনুমোদন করা (onumodon kora),aprovar,одобрять,منظور کرنا (manzūr karnā),menyetujui,genehmigen,承認する (shōnin suru),kuidhinisha,मंजूर करणे (man̄jūra karaṇē),ఆమోదించు (āmōdin̄cu),onaylamak,승인하다 (seung-inhada),approvare
449,approximate,تقریبی,近似的 (jìnsì de),लगभग (lagbhag),aproximado,approximatif,تقريبي (taqrībī),আনুমানিক (anumanik),aproximado,приблизительный,اندازاً (andāzan),kira-kira,ungefähr,おおよその (ōyoso no),takriban,अंदाजे (an̄dājē),సుమారు (sumāru),yaklaşık; tahmini,대략의 (daelyag-ui),approssimativo
450,approximately,تقریباً,大约 (dàyuē),लगभग (lagbhag),aproximadamente,approximativement,تقريبا (taqrīban),প্রায় (pray),aproximadamente,приблизительно,تقریباً (taqrīban),kira-kira,ungefähr; zirka,約 (yaku),takriban,अंदाजे (an̄dājē),సుమారుగా (sumārugā),yaklaşık olarak,대략 (daelyag),approssimativamente
451,April,آوریل,四月 (sìyuè),अप्रैल (aprail),abril,avril,أبريل (ʾabrīl),এপ্রিল (epril),abril,апрель,اپریل (aprail),April,April,四月 (shigatsu),Aprili,एप्रिल (ēprila),ఏప్రిల్ (ēpril),Nisan,4월 (sawol),aprile
452,apron,پیش‌بند,围裙 (wéiqún),एप्रन (epran),delantal,tablier,مئزر (miʾzar),অ্যাপ্রন (êpron),avental,фартук,ایپرن (apron),celemek,Schürze,エプロン (epuron),aproni,ऍप्रन (ĕprana),ఆప్రాన్ (āprān),önlük,앞치마 (apchima),grembiule
453,apt,مستعد; مناسب,恰当的 (qiàdàng de),उपयुक्त (upyukt),apto,apte,مناسب (munāsib),উপযুক্ত (upojukto),apto,подходящий; склонный,موزوں (mauzūñ),sesuai; cenderung,passend; geeignet,適切な (tekisetsuna),-a kufaa,योग्य (yōgya),తగిన (tagina),uygun; eğilimli,적절한 (jeogjeolhan),atto; appropriato
454,apt to,مستعد بودن برای,倾向于 (qīngxiàng yú),प्रवृत्त होना (pravr̥tt honā),propenso a,susceptible de,يميل إلى (yamīlu ʾilā),প্রবণ (probon),propenso a,склонный к,مائل ہونا (mā'il honā),cenderung untuk,geneigt zu,～しがちである (~shigachi de aru),-enye tabia ya,प्रवृत्त असणे (pravr̥tta asaṇē),ఒంపు చూపు (ompu cūpu),-e eğilimli olmak,~하는 경향이 있다 (~haneun gyeonghyang-i issda),essere incline a
455,aptitude,استعداد,天资 (tiānzī),योग्यता (yogyatā),aptitud,aptitude,موهبة (maw'hibah),পারদর্শিতা (parodorshita),aptidão,способность,صلاحیت (salahiyat),bakat,Begabung; Eignung,適性 (tekisei),kipawa,योग्यता (yōgyatā),సామర్థ్యం (sāmarthyaṁ),yetenek; kabiliyet,소질 (sojil),attitudine
456,aqua,آب,水 (shuǐ),जल (jal),aqua,aqua,ماء (māʾ),জল (jol),aqua,вода,آب (āb),air,Aqua; Wasser,水 (mizu),maji,पाणी (pāṇī),నీరు (nīru),su,물 (mul),acqua
457,aquarium,آکواریوم,水族馆 (shuǐzúguǎn),मछलीघर (machlīghar),acuario,aquarium,حوض سمك (ḥawḍ samak),অ্যাকোয়ারিয়াম (êkō'ariyāṃ),aquário,аквариум,مچھلی گھر (machlī ghar),akuarium,Aquarium,水族館 (suizokukan),akwariamu,अक्वेरियम (akvēriyama),అక్వేరియం (akvēriyaṁ),akvaryum,수족관 (sujogwan),acquario
458,arbitrary,خودسرانه; اختیاری,任意的 (rènyì de),मनमाना (manmānā),arbitrario,arbitraire,اعتباطي (iʿtibāṭī),খামখেয়ালী (khamkheyali),arbitrário,произвольный,من مانی (man-mānī),sewenang-wenang,willkürlich,任意の (nin'i no),-a kiholela,मनमानी (manamānī),య произвольный (yadr̥cchika),keyfi; gelişigüzel,임의의 (im-ui-ui),arbitrario
459,arcane,مرموز,神秘的 (shénmì de),गूढ़ (gūṛh),arcano,ésotérique,غامض (ghāmiḍ),রহস্যময় (rohosshomoy),arcano,тайный,پراسرار (pur-asrār),gaib,geheimnisvoll; verborgen,難解な (nankaina),-a siri,गूढ (gūḍha),మర్మమైన (marmamaina),gizli; esrarengiz,신비로운 (sinbiloun),arcano
460,arcanely,به طرز مرموزی,神秘地 (shénmì de),गूढ़ता से (gūṛhtā se),arcanamente,de façon ésotérique,بشكل غامض (bi-shaklin ghāmiḍin),রহস্যময়ভাবে (rohosshomoybhabe),arcanamente,таинственно,پراسرار انداز سے (pur-asrār andāz se),secara gaib,geheimnisvoll,難解に (nankai ni),kwa njia ya siri,गूढतेने (gūḍhatēnē),మర్మంగా (marmaṅgā),esrarengiz bir şekilde,신비롭게 (sinbilobge),arcanamente
461,arch,قوس; طاق,拱门 (gǒngmén),मेहराब (mehrāb),arco,arche; voûte,قوس (qaws),খিলান (khilan),arco,арка,محراب (mehrāb),lengkungan,Bogen; Gewölbe,アーチ (āchi),tao,कमान (kamāna),వంపు (vampu),kemer; yay,아치 (achi),arco
